,Item,UsePercentage,Pokemon
660,Thick Club,99.938,Alolan Marowak
661,Other,0.062,Alolan Marowak
662,Mystic Water,70.091,Slowbro
663,Leftovers,24.729,Slowbro
664,Rocky Helmet,2.348,Slowbro
665,Other,2.832,Slowbro
666,Griseous Orb,100.000,Giratina Origin Forme
667,Black Sludge,99.848,Toxapex
668,Other,0.152,Toxapex
669,Light Clay,44.364,Raikou
670,Air Balloon,29.454,Raikou
671,Choice Scarf,20.488,Raikou
672,Shuca Berry,4.861,Raikou
673,Other,0.833,Raikou
674,Focus Sash,72.006,Pelipper
675,Wacan Berry,16.779,Pelipper
676,Damp Rock,4.835,Pelipper
677,Sitrus Berry,2.957,Pelipper
678,Other,3.423,Pelipper
679,Babiri Berry,68.363,Galarian Weezing
680,Shuca Berry,24.469,Galarian Weezing
681,Black Sludge,2.593,Galarian Weezing
682,Other,4.576,Galarian Weezing
683,Wacan Berry,35.456,Kingler
684,Assault Vest,22.583,Kingler
685,Life Orb,20.541,Kingler
686,Mystic Water,19.185,Kingler
687,Other,2.235,Kingler
688,Sitrus Berry,49.535,Oranguru
689,Mental Herb,11.378,Oranguru
690,Psychic Seed,10.516,Oranguru
691,Choice Band,8.209,Oranguru
692,Colbur Berry,7.357,Oranguru
693,Choice Specs,3.530,Oranguru
694,Choice Scarf,2.685,Oranguru
695,Wide Lens,2.320,Oranguru
696,Other,4.470,Oranguru
697,Focus Sash,58.813,Nihilego
698,Power Herb,23.019,Nihilego
699,Adrenaline Orb,9.306,Nihilego
700,Life Orb,4.097,Nihilego
701,Other,4.764,Nihilego
702,Lansat Berry,55.960,Togedemaru
703,Choice Scarf,26.528,Togedemaru
704,Focus Sash,10.746,Togedemaru
705,Salac Berry,2.972,Togedemaru
706,Other,3.794,Togedemaru
707,Assault Vest,32.114,Gyarados
708,Life Orb,29.638,Gyarados
709,Sitrus Berry,21.928,Gyarados
710,Choice Scarf,4.798,Gyarados
711,Lum Berry,2.978,Gyarados
712,Focus Sash,2.344,Gyarados
